# azimuth	latitude
316.595	4.06328
134.395	74.4943
256.713	84.1527
327.083	62.0698
97.4405	35.3343
275.813	37.7063
134.392	24.6612
140.31	33.4029
120.786	49.6325
129.079	48.1152
232.884	57.3829
285.218	77.3937
60.4517	52.1856
95.1158	37.0774
25.0171	37.6199
157.008	43.224
282.733	2.39204
289.347	43.8201
307.861	53.511
199.444	63.7303
124.329	57.2765
233.496	84.5497
152.834	65.8643
155.245	6.06354
115.903	54.6943
10.6632	58.6062
257.474	83.3042
148.027	4.17865
28.1861	40.4902
309.631	7.9399
152.289	52.8416
60.1502	70.6399
157.721	52.1917
132.119	28.9458
62.2113	35.6269
164.756	61.323
276.192	31.7818
162.723	36.4087
183.957	43.673
120.143	76.1236
41.6359	34.7516
296.457	47.2839
17.4975	89.2032
155.992	43.7578
217.682	23.8066
205.269	70.5126
299.195	12.193
348.866	48.6268
94.5287	63.4798
29.6472	55.7524
27.7567	40.9942
284.032	46.3624
173.893	47.5542
143.559	35.3554
75.7712	37.1107
128.264	19.1598
283.988	37.2829
340.191	86.1757
145.514	34.4272
325.991	53.5822
72.1508	36.9703
133.975	29.6454
121.394	63.9062
278.589	36.9767
198.068	63.6675
135.121	29.3314
20.2866	70.6832
269.686	25.1251
268.036	24.6505
181.828	37.7256
134.526	34.267
174.21	32.4639
240.897	63.9638
108.025	3.6616
133.678	27.7591
289.874	45.9271
168.353	46.5546
123.856	67.4193
300.485	42.7026
110.272	67.4491
329.944	43.4212
325.868	51.1798
138.867	65.0609
332.438	4.39613
52.4699	43.8646
184.072	32.3994
281.341	31.3235
156.165	71.7095
231.996	63.1798
287.623	18.3642
148.405	16.1803
138.376	35.6307
313.914	14.3732
305.984	83.9171
147.347	71.6561
147.478	71.3336
102.661	58.1607
117.009	39.382
75.9806	67.0107
245.038	44.5237
217.27	49.0711
62.8023	55.1284
246.134	45.8024
340.402	20.0599
140.133	69.1491
275.908	30.2899
160.906	28.0368
165.372	56.0117
52.51	53.9531
156.147	19.5864
126.096	29.0011
82.9355	66.3783
10.9423	43.0318
131.946	26.4399
104.287	9.93789
116.467	31.8623
238.981	0.617325
141.121	68.0252
149.611	22.0661
218.972	81.7132
279.425	37.5452
128.884	25.342
43.0158	56.361
93.0074	41.0654
314.568	10.3812
17.7868	69.0637
122.125	79.8913
134.964	41.4504
139.243	27.7658
145.536	17.8803
120.165	61.5955
325.189	51.3747
272.485	48.8721
167.363	83.6663
96.9004	32.2119
215.244	79.0778
102.617	23.061
91.1422	60.5552
273.437	11.879
328.764	24.4304
188.564	55.3254
120.1	33.9091
183.053	52.8708
119.491	34.0258
290.31	38.8452
272.665	19.7146
16.821	80.4414
90.1925	60.4808
63.9466	43.5465
98.9711	69.3207
123.183	72.2882
147.225	15.7385
193.261	79.1591
14.5321	71.3012
331.271	75.3195
134.796	42.6946
248.572	48.7599
261.944	11.209
73.0157	50.2589
289.32	30.7906
280.148	31.9265
181.32	52.8327
10.1056	76.625
279.046	41.0786
129.769	43.6931
118.909	36.0399
325.125	71.7528
292.658	47.2608
203.109	86.7262
261.914	68.4142
117.69	36.4537
187.165	53.3086
110.34	45.6884
113.434	70.9579
149.954	72.0851
160.131	42.5759
258.382	6.92925
167.08	53.7411
247.991	68.802
168.26	49.7914
172.221	26.0828
162.328	43.0344
47.3288	62.9606
176.721	35.4951
312.384	58.1944
95.0134	18.7
95.7752	48.144
172.917	50.4504
221.196	30.0926
142.598	67.1574
329.394	1.62613
340.92	85.8022
286.42	37.3276
28.397	47.7525
188.044	52.7646
217.891	47.9949
160.984	21.6095
316.855	47.268
78.8457	58.6796
330.937	2.38544
184.09	65.2646
236.971	59.4357
184.763	53.2074
151.669	43.068
185.426	52.3478
53.2739	58.5023
136.016	25.0682
299.787	38.5275
189.176	62.3005
178.173	35.9899
84.7933	23.6944
277.546	20.929
134.888	62.8332
111.223	3.00141
306.226	21.6964
60.1107	43.0373
185.312	77.2784
346.915	54.971
291.834	43.1187
94.4884	43.2358
352.795	61.2018
167.791	46.6865
328.64	50.2117
